date,competition,weapon,bout_type,fencer_a,club_a,fencer_b,club_b,score_a,score_b,de_round,gender,fencer_a_uid,fencer_b_uid
2024-02-17,MidSouth Secondary Schools 2024 - Mens,foil,pool,Flynn Mcbride,Cashmere High,Matthew Clease,The Fencing Institute,4,5,,Mens,12364,12258
2024-02-17,MidSouth Secondary Schools 2024 - Mens,foil,pool,Flynn Mcbride,Cashmere High,Kwun Yat Zeng,The Fencing Institute,2,5,,Mens,12364,12367
2024-02-17,MidSouth Secondary Schools 2024 - Mens,foil,pool,Flynn Mcbride,Cashmere High,Max Wu,The Fencing Institute,5,3,,Mens,12364,12369
2024-02-17,MidSouth Secondary Schools 2024 - Mens,foil,pool,Flynn Mcbride,Cashmere High,Zeyad Elmallah,Piwakawaka Fencing Club,2,5,,Mens,12364,12135
2024-02-17,MidSouth Secondary Schools 2024 - Mens,foil,pool,Flynn Mcbride,Cashmere High,Sabre Evans,United Fencing Club,5,4,,Mens,12364,12368
2024-02-17,MidSouth Secondary Schools 2024 - Mens,foil,pool,Matthew Clease,The Fencing Institute,Kwun Yat Zeng,The Fencing Institute,4,5,,Mens,12258,12367
2024-02-17,MidSouth Secondary Schools 2024 - Mens,foil,pool,Matthew Clease,The Fencing Institute,Max Wu,The Fencing Institute,1,5,,Mens,12258,12369
2024-02-17,MidSouth Secondary Schools 2024 - Mens,foil,pool,Matthew Clease,The Fencing Institute,Zeyad Elmallah,Piwakawaka Fencing Club,1,5,,Mens,12258,12135
2024-02-17,MidSouth Secondary Schools 2024 - Mens,foil,pool,Matthew Clease,The Fencing Institute,Sabre Evans,United Fencing Club,3,5,,Mens,12258,12368
2024-02-17,MidSouth Secondary Schools 2024 - Mens,foil,pool,Kwun Yat Zeng,The Fencing Institute,Max Wu,The Fencing Institute,5,1,,Mens,12367,12369
2024-02-17,MidSouth Secondary Schools 2024 - Mens,foil,pool,Kwun Yat Zeng,The Fencing Institute,Zeyad Elmallah,Piwakawaka Fencing Club,5,4,,Mens,12367,12135
2024-02-17,MidSouth Secondary Schools 2024 - Mens,foil,pool,Kwun Yat Zeng,The Fencing Institute,Sabre Evans,United Fencing Club,5,4,,Mens,12367,12368
2024-02-17,MidSouth Secondary Schools 2024 - Mens,foil,pool,Max Wu,The Fencing Institute,Zeyad Elmallah,Piwakawaka Fencing Club,4,5,,Mens,12369,12135
2024-02-17,MidSouth Secondary Schools 2024 - Mens,foil,pool,Max Wu,The Fencing Institute,Sabre Evans,United Fencing Club,2,5,,Mens,12369,12368
2024-02-17,MidSouth Secondary Schools 2024 - Mens,foil,pool,Zeyad Elmallah,Piwakawaka Fencing Club,Sabre Evans,United Fencing Club,3,5,,Mens,12135,12368
2024-02-17,MidSouth Secondary Schools 2024 - Mens,epee,pool,Noah Grossmith,Piwakawaka Fencing Club,William Mcneil,Piwakawaka Fencing Club,5,2,,Mens,11641,11888
2024-02-17,MidSouth Secondary Schools 2024 - Mens,epee,pool,Noah Grossmith,Piwakawaka Fencing Club,Flynn Mcbride,Cashmere High,5,0,,Mens,11641,12364
2024-02-17,MidSouth Secondary Schools 2024 - Mens,epee,pool,Noah Grossmith,Piwakawaka Fencing Club,Newmann Hao,Christs College,5,0,,Mens,11641,12340
2024-02-17,MidSouth Secondary Schools 2024 - Mens,epee,pool,Noah Grossmith,Piwakawaka Fencing Club,Zeyad Elmallah,Piwakawaka Fencing Club,5,1,,Mens,11641,12135
2024-02-17,MidSouth Secondary Schools 2024 - Mens,epee,pool,Noah Grossmith,Piwakawaka Fencing Club,Tom Eyre-Walker,The Fencing Institute,5,2,,Mens,11641,12227
2024-02-17,MidSouth Secondary Schools 2024 - Mens,epee,pool,William Mcneil,Piwakawaka Fencing Club,Flynn Mcbride,Cashmere High,5,3,,Mens,11888,12364
2024-02-17,MidSouth Secondary Schools 2024 - Mens,epee,pool,William Mcneil,Piwakawaka Fencing Club,Newmann Hao,Christs College,5,1,,Mens,11888,12340
2024-02-17,MidSouth Secondary Schools 2024 - Mens,epee,pool,William Mcneil,Piwakawaka Fencing Club,Zeyad Elmallah,Piwakawaka Fencing Club,5,0,,Mens,11888,12135
2024-02-17,MidSouth Secondary Schools 2024 - Mens,epee,pool,William Mcneil,Piwakawaka Fencing Club,Tom Eyre-Walker,The Fencing Institute,5,2,,Mens,11888,12227
2024-02-17,MidSouth Secondary Schools 2024 - Mens,epee,pool,Flynn Mcbride,Cashmere High,Newmann Hao,Christs College,2,5,,Mens,12364,12340
2024-02-17,MidSouth Secondary Schools 2024 - Mens,epee,pool,Flynn Mcbride,Cashmere High,Zeyad Elmallah,Piwakawaka Fencing Club,2,5,,Mens,12364,12135
2024-02-17,MidSouth Secondary Schools 2024 - Mens,epee,pool,Flynn Mcbride,Cashmere High,Tom Eyre-Walker,The Fencing Institute,2,5,,Mens,12364,12227
2024-02-17,MidSouth Secondary Schools 2024 - Mens,epee,pool,Newmann Hao,Christs College,Zeyad Elmallah,Piwakawaka Fencing Club,0,5,,Mens,12340,12135
2024-02-17,MidSouth Secondary Schools 2024 - Mens,epee,pool,Newmann Hao,Christs College,Tom Eyre-Walker,The Fencing Institute,2,5,,Mens,12340,12227
2024-02-17,MidSouth Secondary Schools 2024 - Mens,epee,pool,Zeyad Elmallah,Piwakawaka Fencing Club,Tom Eyre-Walker,The Fencing Institute,2,4,,Mens,12135,12227
2024-02-17,MidSouth Secondary Schools 2024 - Mens,foil,de,Kwun Yat Zeng,The Fencing Institute,Sabre Evans,United Fencing Club,11,15,Final,Mens,12367,12368
2024-02-17,MidSouth Secondary Schools 2024 - Mens,foil,de,Kwun Yat Zeng,The Fencing Institute,Flynn Mcbride,Cashmere High,15,11,SF,Mens,12367,12364
2024-02-17,MidSouth Secondary Schools 2024 - Mens,foil,de,Zeyad Elmallah,Piwakawaka Fencing Club,Sabre Evans,United Fencing Club,12,15,SF,Mens,12135,12368
2024-02-17,MidSouth Secondary Schools 2024 - Mens,foil,de,Max Wu,The Fencing Institute,Flynn Mcbride,Cashmere High,11,15,QF,Mens,12369,12364
2024-02-17,MidSouth Secondary Schools 2024 - Mens,foil,de,Zeyad Elmallah,Piwakawaka Fencing Club,Matthew Clease,The Fencing Institute,15,2,QF,Mens,12135,12258
2024-02-17,MidSouth Secondary Schools 2024 - Mens,epee,de,Noah Grossmith,Piwakawaka Fencing Club,William Mcneil,Piwakawaka Fencing Club,14,15,Final,Mens,11641,11888
2024-02-17,MidSouth Secondary Schools 2024 - Mens,epee,de,Noah Grossmith,Piwakawaka Fencing Club,Zeyad Elmallah,Piwakawaka Fencing Club,15,11,SF,Mens,11641,12135
2024-02-17,MidSouth Secondary Schools 2024 - Mens,epee,de,Tom Eyre-Walker,The Fencing Institute,William Mcneil,Piwakawaka Fencing Club,11,15,SF,Mens,12227,11888
2024-02-17,MidSouth Secondary Schools 2024 - Mens,epee,de,Newmann Hao,Christs College,Zeyad Elmallah,Piwakawaka Fencing Club,3,15,QF,Mens,12340,12135
2024-02-17,MidSouth Secondary Schools 2024 - Mens,epee,de,Tom Eyre-Walker,The Fencing Institute,Flynn Mcbride,Cashmere High,15,4,QF,Mens,12227,12364
2024-02-17,MidSouth Secondary Schools 2024 - Mens,sabre,de,I-Tung Liu,,Kwun Yat Zeng,The Fencing Institute,15,3,Final,Mens,,12367
2024-02-17,MidSouth Secondary Schools 2024 - Womens,foil,pool,Sophia Righton,The Fencing Institute,Yao Wang,The Fencing Institute,1,5,,Womens,12251,12371
